Name,Median Incomes,currency,incomes,zipcoded
Zip Code 11237,All Households,Dollars,53303,11237
Zip Code 11237,Families,Dollars,43640,11237
Zip Code 11237,Families with Children,Dollars,33151,11237
Zip Code 11238,All Households,Dollars,91846,11238
Zip Code 11238,Families without Children,Dollars,102133,11238
Zip Code 11238,Families with Children,Dollars,156853,11238
Zip Code 11238,Families,Dollars,118291,11238
Zip Code 11239,Families with Children,Dollars,51786,11239
Zip Code 11239,Families,Dollars,34528,11239
Zip Code 11239,Families without Children,Dollars,29907,11239
Zip Code 11239,All Households,Dollars,29172,11239
Zip Code 11354,All Households,Dollars,40786,11354
Zip Code 11354,Families with Children,Dollars,45768,11354
Zip Code 11354,Families,Dollars,47405,11354
Zip Code 11354,Families without Children,Dollars,49046,11354
Zip Code 11355,Families without Children,Dollars,50417,11355
Zip Code 11355,Families,Dollars,45619,11355
Zip Code 11355,All Households,Dollars,42507,11355
Zip Code 11355,Families with Children,Dollars,40483,11355
Zip Code 11356,All Households,Dollars,61859,11356
Zip Code 11356,Families with Children,Dollars,65347,11356
Zip Code 11356,Families,Dollars,66463,11356
Zip Code 11356,Families without Children,Dollars,68000,11356
Zip Code 11357,All Households,Dollars,85818,11357
Zip Code 11357,Families without Children,Dollars,85985,11357
Zip Code 11357,Families with Children,Dollars,109881,11357
Zip Code 11357,Families,Dollars,98213,11357
Zip Code 11358,Families with Children,Dollars,86042,11358
Zip Code 11358,Families without Children,Dollars,76767,11358
Zip Code 11358,Families,Dollars,78357,11358
Zip Code 11358,All Households,Dollars,68848,11358
Zip Code 11360,All Households,Dollars,83063,11360
Zip Code 11360,Families without Children,Dollars,95662,11360
Zip Code 11360,Families,Dollars,107188,11360
Zip Code 11360,Families with Children,Dollars,116944,11360
Zip Code 11361,Families without Children,Dollars,100285,11361
Zip Code 11361,Families with Children,Dollars,96057,11361
Zip Code 11361,Families,Dollars,97203,11361
Zip Code 11361,All Households,Dollars,87892,11361
Zip Code 11362,All Households,Dollars,93333,11362
Zip Code 11362,Families,Dollars,121625,11362
Zip Code 11362,Families without Children,Dollars,118036,11362
Zip Code 11362,Families with Children,Dollars,141975,11362
Zip Code 11363,Families with Children,Dollars,138750,11363
Zip Code 11363,Families without Children,Dollars,113571,11363
Zip Code 11363,Families,Dollars,128009,11363
Zip Code 11363,All Households,Dollars,101019,11363
Zip Code 11364,Families with Children,Dollars,102846,11364
Zip Code 11364,Families without Children,Dollars,96783,11364
Zip Code 11364,Families,Dollars,98424,11364
Zip Code 11364,All Households,Dollars,82028,11364
Zip Code 11365,Families,Dollars,75409,11365
Zip Code 11365,Families without Children,Dollars,76273,11365
